INSERT Address (Street, City, ZIP, Country) VALUES ('Red Clarendon 7','Peshastin',404919,'France');
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Keeping In Touch With Kylo Ren',16,'2017-10-31 12:46:00','2017-10-31 14:46:00','Building D, room 30',34.9965,13);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Develop Your Rey',17,'2017-10-31 17:47:00','2017-10-31 19:47:00','Building N, room 56',66.9933,28);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Cooking Lesson With Author',17,'2017-10-31 10:23:00','2017-10-31 12:23:00','Building O, room 122',74.9925,18);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Prison Cells Of Tomato',17,'2017-10-31 16:45:00','2017-10-31 18:45:00','Building L, room 8',3.9996,19);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Music Of Fish',17,'2017-10-31 10:27:00','2017-10-31 12:27:00','Building R, room 45',24.9975,10);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Considering Lord Vader',18,'2018-3-26 14:53:00','2018-3-26 16:53:00','Building I, room 84',85.9914,20);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Friends Of SQL',18,'2018-3-26 10:42:00','2018-3-26 12:42:00','Building O, room 119',5.9994,21);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Music Of Dance',18,'2018-3-26 11:16:00','2018-3-26 13:16:00','Building Z, room 9',65.9934,12);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Redemption Casablanca',18,'2018-3-26 17:39:00','2018-3-26 19:39:00','Building X, room 186',94.9905,29);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Life Of Juice',19,'2018-3-26 19:28:00','2018-3-26 21:28:00','Building T, room 93',1.9998,21);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Dressing Like Ben Solo',19,'2018-3-26 10:32:00','2018-3-26 12:32:00','Building R, room 56',3.9996,26);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Slaughterhouse Of Popstar',19,'2018-3-26 10:16:00','2018-3-26 12:16:00','Building I, room 117',20.9979,25);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Learning Peach',19,'2018-3-26 14:50:00','2018-3-26 16:50:00','Building U, room 155',40.9959,23);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Your DIY Land',20,'2015-11-29 18:4:00','2015-11-29 20:4:00','Building A, room 172',16.9983,21);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Meaning Vincent',20,'2015-11-29 19:14:00','2015-11-29 21:14:00','Building U, room 181',52.994698,14);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Upbringing Your Africa',20,'2015-11-29 14:44:00','2015-11-29 16:44:00','Building J, room 27',65.9934,11);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Manufacturing Assembly',20,'2015-11-29 14:25:00','2015-11-29 16:25:00','Building V, room 129',63.9936,29);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Sleeping Writer',21,'2017-11-12 13:24:00','2017-11-12 15:24:00','Building A, room 196',16.9983,10);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Explaining Elixir',21,'2017-11-12 12:32:00','2017-11-12 14:32:00','Building P, room 67',4.9995,21);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Online Justice',21,'2017-11-12 13:35:00','2017-11-12 15:35:00','Building Z, room 78',30.996899,27);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Changing Popstar',21,'2017-11-12 14:0:00','2017-11-12 16:0:00','Building N, room 35',87.991196,22);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Scandinavian Fortran',22,'2018-2-11 15:44:00','2018-2-11 17:44:00','Building I, room 161',7.9992,11);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Killing C#',22,'2018-2-11 16:51:00','2018-2-11 18:51:00','Building X, room 131',19.998,28);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Slaughterhouse Of Han Solo',22,'2018-2-11 11:44:00','2018-2-11 13:44:00','Building K, room 89',9.999,10);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Being Ruby',22,'2018-2-11 11:25:00','2018-2-11 13:25:00','Building G, room 74',17.9982,22);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Losing Yoda',23,'2018-2-11 13:30:00','2018-2-11 15:30:00','Building P, room 2',44.9955,22);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Blowing C#',23,'2018-2-11 16:4:00','2018-2-11 18:4:00','Building E, room 183',26.9973,18);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Online C#',23,'2018-2-11 17:26:00','2018-2-11 19:26:00','Building M, room 185',67.9932,12);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Starting Palpatine',23,'2018-2-11 10:14:00','2018-2-11 12:14:00','Building W, room 10',71.9928,26);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Family Of Glass Ceiling',24,'2015-4-7 16:34:00','2015-4-7 18:34:00','Building W, room 61',64.9935,24);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Being Lord Vader',24,'2015-4-7 16:42:00','2015-4-7 18:42:00','Building W, room 131',64.9935,17);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Leading Admiral Ackbar',24,'2015-4-7 16:12:00','2015-4-7 18:12:00','Building Q, room 63',29.997,14);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Fauna And Python',24,'2015-4-7 13:46:00','2015-4-7 15:46:00','Building D, room 60',15.9984,22);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Harrow And Popstar',25,'2015-4-7 19:36:00','2015-4-7 21:36:00','Building T, room 43',67.9932,28);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Harrow And Jon Snow',25,'2015-4-7 19:27:00','2015-4-7 21:27:00','Building U, room 199',16.9983,18);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Closing Assembly',25,'2015-4-7 10:17:00','2015-4-7 12:17:00','Building Q, room 99',76.9923,29);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Choosing Europe',25,'2015-4-7 17:8:00','2015-4-7 19:8:00','Building F, room 171',21.997799,22);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Dressing Like Jar Jar Binks',26,'2015-11-13 15:6:00','2015-11-13 17:6:00','Building S, room 155',100.9899,10);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Ending Obstacles',26,'2015-11-13 19:14:00','2015-11-13 21:14:00','Building P, room 42',53.9946,13);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Losing Obstacles',26,'2015-11-13 16:9:00','2015-11-13 18:9:00','Building X, room 173',19.998,29);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Baking Your Own Banana',26,'2015-11-13 15:25:00','2015-11-13 17:25:00','Building Y, room 30',5.9994,29);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Walking Rey',27,'2015-11-13 13:1:00','2015-11-13 15:1:00','Building G, room 114',19.998,11);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Walking Data Science',27,'2015-11-13 10:37:00','2015-11-13 12:37:00','Building P, room 33',22.9977,15);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Ending Vincent',27,'2015-11-13 19:45:00','2015-11-13 21:45:00','Building I, room 68',64.9935,12);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Music Of Opportunities',27,'2015-11-13 14:30:00','2015-11-13 16:30:00','Building D, room 94',83.9916,22);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Finishing Planner',28,'2015-11-13 17:36:00','2015-11-13 19:36:00','Building A, room 127',84.9915,24);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Being Banana',28,'2015-11-13 11:14:00','2015-11-13 13:14:00','Building C, room 141',3.9996,24);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Increasing Potential Of Author',28,'2015-11-13 19:31:00','2015-11-13 21:31:00','Building G, room 5',6.9993,23);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Losing Tools',28,'2015-11-13 18:40:00','2015-11-13 20:40:00','Building R, room 175',42.9957,26);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Online Han Solo',29,'2015-12-22 13:18:00','2015-12-22 15:18:00','Building K, room 114',79.992,14);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Online Writer',29,'2015-12-22 16:35:00','2015-12-22 18:35:00','Building J, room 100',29.997,14);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Comprehensive Dance',29,'2015-12-22 16:6:00','2015-12-22 18:6:00','Building Z, room 151',23.9976,11);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Shutting Admiral Ackbar',29,'2015-12-22 12:56:00','2015-12-22 14:56:00','Building X, room 19',40.9959,20);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Purple Luke Skywalker',30,'2015-12-22 14:12:00','2015-12-22 16:12:00','Building J, room 97',33.9966,15);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Music Of Ben Solo',30,'2015-12-22 18:28:00','2015-12-22 20:28:00','Building C, room 183',71.9928,25);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Ending Ruby',30,'2015-12-22 16:2:00','2015-12-22 18:2:00','Building I, room 60',7.9992,15);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Comprehensive Africa',30,'2015-12-22 11:16:00','2015-12-22 13:16:00','Building A, room 71',89.991,10);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Writing SML',31,'2015-7-11 17:9:00','2015-7-11 19:9:00','Building Z, room 54',29.997,19);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Meat And Peach',31,'2015-7-11 12:10:00','2015-7-11 14:10:00','Building I, room 81',88.9911,21);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Game Of Anakin',31,'2015-7-11 13:22:00','2015-7-11 15:22:00','Building A, room 130',17.9982,28);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Increasing Potential Of Writer',31,'2015-7-11 19:43:00','2015-7-11 21:43:00','Building Q, room 16',70.9929,26);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Motivating Swift',32,'2015-7-11 11:3:00','2015-7-11 13:3:00','Building X, room 63',47.9952,16);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Designing Computer',32,'2015-7-11 17:3:00','2015-7-11 19:3:00','Building G, room 187',35.9964,13);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Analysing Cersei Lannister',32,'2015-7-11 10:52:00','2015-7-11 12:52:00','Building R, room 11',81.9918,27);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Game Of Gorilla',32,'2015-7-11 10:9:00','2015-7-11 12:9:00','Building Z, room 39',89.991,26);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Motivating Jabba',33,'2018-6-12 19:40:00','2018-6-12 21:40:00','Building K, room 119',83.9916,26);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Killing Jon Snow',33,'2018-6-12 13:39:00','2018-6-12 15:39:00','Building C, room 105',59.994,29);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Stannis Baratheon Is JavaScript',33,'2018-6-12 14:52:00','2018-6-12 16:52:00','Building C, room 167',56.9943,20);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Fauna And Your Potential',33,'2018-6-12 18:11:00','2018-6-12 20:11:00','Building F, room 113',43.995598,23);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Closing Anakin',34,'2018-6-12 10:20:00','2018-6-12 12:20:00','Building V, room 49',35.9964,22);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Yourself Haskell',34,'2018-6-12 15:23:00','2018-6-12 17:23:00','Building V, room 17',34.9965,27);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Game Of UML',34,'2018-6-12 12:58:00','2018-6-12 14:58:00','Building Z, room 97',102.9897,27);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Programming Your Anakin',34,'2018-6-12 12:4:00','2018-6-12 14:4:00','Building V, room 195',56.9943,15);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Joining Lisp',35,'2016-12-18 16:10:00','2016-12-18 18:10:00','Building B, room 192',7.9992,13);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Learning Dance',35,'2016-12-18 11:40:00','2016-12-18 13:40:00','Building J, room 184',100.9899,22);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Shooting Justice',35,'2016-12-18 17:56:00','2016-12-18 19:56:00','Building K, room 80',49.995,14);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Changing Law',35,'2016-12-18 17:2:00','2016-12-18 19:2:00','Building K, room 62',44.9955,27);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Studying The True King Of Westeros',36,'2016-12-18 19:1:00','2016-12-18 21:1:00','Building T, room 162',2.9997,22);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Scale Of The True King Of Westeros',36,'2016-12-18 17:23:00','2016-12-18 19:23:00','Building W, room 184',46.9953,19);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Flora And UML',36,'2016-12-18 19:8:00','2016-12-18 21:8:00','Building S, room 101',97.9902,23);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Trusting In Your Law',36,'2016-12-18 14:20:00','2016-12-18 16:20:00','Building K, room 177',103.9896,25);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Cooking Lesson With Past',37,'2016-12-18 16:36:00','2016-12-18 18:36:00','Building X, room 38',40.9959,13);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Big Popstar',37,'2016-12-18 17:1:00','2016-12-18 19:1:00','Building X, room 98',88.9911,17);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Leaving Popstar',37,'2016-12-18 19:20:00','2016-12-18 21:20:00','Building D, room 71',66.9933,23);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Big Lord Vader',37,'2016-12-18 11:26:00','2016-12-18 13:26:00','Building T, room 21',58.9941,28);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Scale Of Writer',38,'2015-11-5 19:10:00','2015-11-5 21:10:00','Building N, room 31',5.9994,17);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Can One Man Change Your Future',38,'2015-11-5 12:7:00','2015-11-5 14:7:00','Building H, room 75',23.9976,23);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Baking Your Own Daenerys Targaryen',38,'2015-11-5 12:30:00','2015-11-5 14:30:00','Building D, room 193',2.9997,18);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Sleeping Lord Vader',38,'2015-11-5 12:38:00','2015-11-5 14:38:00','Building Q, room 22',38.996098,22);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Motivating Python',39,'2017-10-20 17:31:00','2017-10-20 19:31:00','Building Z, room 132',91.9908,21);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Cooking Lesson With Lisp',39,'2017-10-20 16:48:00','2017-10-20 18:48:00','Building J, room 130',79.992,25);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Killing The True King Of Westeros',39,'2017-10-20 16:23:00','2017-10-20 18:23:00','Building I, room 199',100.9899,29);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Killing Han Solo',39,'2017-10-20 11:20:00','2017-10-20 13:20:00','Building C, room 35',62.9937,27);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Earning Planner',40,'2017-10-20 13:24:00','2017-10-20 15:24:00','Building E, room 160',38.996098,29);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Stannis Baratheon Is Computer',40,'2017-10-20 18:8:00','2017-10-20 20:8:00','Building G, room 67',35.9964,14);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Travelling With Haskell',40,'2017-10-20 13:6:00','2017-10-20 15:6:00','Building K, room 188',14.9985,28);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Barking With UML',40,'2017-10-20 10:49:00','2017-10-20 12:49:00','Building T, room 127',40.9959,18);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Ruling The Galaxy With Beast',41,'2017-10-20 13:7:00','2017-10-20 15:7:00','Building R, room 143',63.9936,17);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Beginning Fish',41,'2017-10-20 18:18:00','2017-10-20 20:18:00','Building N, room 199',78.992096,10);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Ending C#',41,'2017-10-20 18:32:00','2017-10-20 20:32:00','Building T, room 76',7.9992,19);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Working Darth Vader',41,'2017-10-20 11:40:00','2017-10-20 13:40:00','Building X, room 177',98.9901,11);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Meat And Planner',42,'2016-4-21 17:54:00','2016-4-21 19:54:00','Building X, room 153',72.9927,19);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Feeling Gorilla',42,'2016-4-21 17:6:00','2016-4-21 19:6:00','Building K, room 39',64.9935,20);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Shawshank Justice',42,'2016-4-21 10:11:00','2016-4-21 12:11:00','Building Y, room 81',90.9909,23);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Motivating America',42,'2016-4-21 13:23:00','2016-4-21 15:23:00','Building S, room 151',1.9998,24);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Ending Tools',43,'2016-4-21 16:11:00','2016-4-21 18:11:00','Building G, room 51',53.9946,22);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Choosing Anakin',43,'2016-4-21 15:40:00','2016-4-21 17:40:00','Building C, room 145',102.9897,23);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Scandinavian Yoda',43,'2016-4-21 12:52:00','2016-4-21 14:52:00','Building H, room 24',86.991295,16);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Changing Beast',43,'2016-4-21 11:26:00','2016-4-21 13:26:00','Building U, room 41',11.9988,20);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Slaughterhouse Of Banana',44,'2016-4-21 11:19:00','2016-4-21 13:19:00','Building J, room 171',40.9959,14);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Programming Juice',44,'2016-4-21 17:5:00','2016-4-21 19:5:00','Building M, room 163',90.9909,16);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Writing Opportunities',44,'2016-4-21 15:31:00','2016-4-21 17:31:00','Building G, room 43',41.9958,10);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Speed Of Dance',44,'2016-4-21 18:11:00','2016-4-21 20:11:00','Building K, room 85',51.9948,21);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Faster Than Yoda',45,'2017-1-12 17:35:00','2017-1-12 19:35:00','Building P, room 94',50.9949,28);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Dancing Lesson With Your Future',45,'2017-1-12 19:10:00','2017-1-12 21:10:00','Building G, room 171',8.9991,21);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Climbing Haskell',45,'2017-1-12 10:53:00','2017-1-12 12:53:00','Building V, room 155',54.9945,27);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Quitting Impossible',45,'2017-1-12 16:1:00','2017-1-12 18:1:00','Building I, room 140',17.9982,18);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Explaining Computer',46,'2017-1-12 17:46:00','2017-1-12 19:46:00','Building L, room 105',51.9948,29);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Learning Jysk',46,'2017-1-12 14:9:00','2017-1-12 16:9:00','Building Q, room 120',25.9974,25);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Losing Fortran',46,'2017-1-12 17:17:00','2017-1-12 19:17:00','Building M, room 150',0.9999,21);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Blowing Jysk',46,'2017-1-12 15:57:00','2017-1-12 17:57:00','Building P, room 68',43.995598,17);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Removing Your Planner',47,'2017-1-12 17:42:00','2017-1-12 19:42:00','Building P, room 170',43.995598,23);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Wishing Dance',47,'2017-1-12 12:14:00','2017-1-12 14:14:00','Building S, room 41',0.9999,16);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Walking Ben Solo',47,'2017-1-12 10:53:00','2017-1-12 12:53:00','Building W, room 123',33.9966,24);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Shawshank Vader',47,'2017-1-12 17:32:00','2017-1-12 19:32:00','Building H, room 32',36.9963,25);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Sewing Writer',48,'2017-7-2 14:39:00','2017-7-2 16:39:00','Building Q, room 168',2.9997,22);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Climbing Computer',48,'2017-7-2 11:44:00','2017-7-2 13:44:00','Building Y, room 75',86.991295,17);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Flora And Chewbacca',48,'2017-7-2 17:19:00','2017-7-2 19:19:00','Building D, room 58',58.9941,24);
INSERT Workshops (Name, ConferenceDayID, StartTime, EndTime, Location, Price, ParticipantsLimit) VALUES ('Pies Of Chewbacca',48,'2017-7-2 18:15:00','2017-7-2 20:15:00','Building J, room 104',62.9937,21);
